2024-12-24 15:38:47,697 - data_record - INFO - This is an info message from the data logger.
2024-12-24 15:38:47,701 - data_record - INFO - This is an info message from the data logger.
2024-12-24 15:40:47,728 - data_record - INFO - Send Rate 12:Received 56224 bytes in 10.00 seconds, throughput: 5621.26 bytes/second
2024-12-24 15:40:47,730 - data_record - INFO - Send Rate 100:Sent 56432 bytes in 10.00 seconds, throughput: 5643.00 bytes/second
2024-12-24 15:40:57,706 - data_record - INFO - Send Rate 100:Sent 127372 bytes in 10.00 seconds, throughput: 12736.37 bytes/second
2024-12-24 15:40:57,721 - data_record - INFO - Send Rate 13:Received 126905 bytes in 10.00 seconds, throughput: 12689.11 bytes/second
2024-12-24 15:40:57,730 - data_record - INFO - Send Rate 13:Received 67866 bytes in 10.00 seconds, throughput: 6785.52 bytes/second
2024-12-24 15:40:57,731 - data_record - INFO - Send Rate 100:Sent 68058 bytes in 10.00 seconds, throughput: 6805.61 bytes/second
2024-12-24 15:41:07,707 - data_record - INFO - Send Rate 100:Sent 140238 bytes in 10.00 seconds, throughput: 14023.12 bytes/second
2024-12-24 15:41:07,723 - data_record - INFO - Send Rate 14:Received 140118 bytes in 10.00 seconds, throughput: 14009.67 bytes/second
2024-12-24 15:41:07,731 - data_record - INFO - Send Rate 14:Received 84023 bytes in 10.00 seconds, throughput: 8401.46 bytes/second
2024-12-24 15:41:07,731 - data_record - INFO - Send Rate 100:Sent 83983 bytes in 10.00 seconds, throughput: 8397.91 bytes/second
2024-12-24 15:41:17,708 - data_record - INFO - Send Rate 100:Sent 108622 bytes in 10.00 seconds, throughput: 10861.85 bytes/second
2024-12-24 15:41:17,725 - data_record - INFO - Send Rate 15:Received 108927 bytes in 10.00 seconds, throughput: 10891.52 bytes/second
2024-12-24 15:41:17,732 - data_record - INFO - Send Rate 15:Received 93456 bytes in 10.00 seconds, throughput: 9344.77 bytes/second
2024-12-24 15:41:17,732 - data_record - INFO - Send Rate 100:Sent 93779 bytes in 10.00 seconds, throughput: 9377.50 bytes/second
2024-12-24 15:41:27,708 - data_record - INFO - Send Rate 100:Sent 93070 bytes in 10.00 seconds, throughput: 9306.56 bytes/second
2024-12-24 15:41:27,726 - data_record - INFO - Send Rate 16:Received 93079 bytes in 10.00 seconds, throughput: 9306.60 bytes/second
2024-12-24 15:41:27,733 - data_record - INFO - Send Rate 100:Sent 113022 bytes in 10.00 seconds, throughput: 11301.55 bytes/second
2024-12-24 15:41:27,734 - data_record - INFO - Send Rate 16:Received 113246 bytes in 10.00 seconds, throughput: 11321.76 bytes/second
2024-12-24 15:41:37,709 - data_record - INFO - Send Rate 100:Sent 104620 bytes in 10.00 seconds, throughput: 10461.26 bytes/second
2024-12-24 15:41:37,728 - data_record - INFO - Send Rate 17:Received 104519 bytes in 10.00 seconds, throughput: 10450.34 bytes/second
2024-12-24 15:41:37,733 - data_record - INFO - Send Rate 100:Sent 124046 bytes in 10.00 seconds, throughput: 12403.88 bytes/second
2024-12-24 15:41:37,737 - data_record - INFO - Send Rate 17:Received 123865 bytes in 10.00 seconds, throughput: 12384.18 bytes/second
2024-12-24 15:41:47,710 - data_record - INFO - Send Rate 100:Sent 117305 bytes in 10.00 seconds, throughput: 11729.81 bytes/second
2024-12-24 15:41:47,729 - data_record - INFO - Send Rate 18:Received 117235 bytes in 10.00 seconds, throughput: 11722.90 bytes/second
2024-12-24 15:41:47,734 - data_record - INFO - Send Rate 100:Sent 137275 bytes in 10.00 seconds, throughput: 13726.82 bytes/second
2024-12-24 15:41:47,739 - data_record - INFO - Send Rate 18:Received 137061 bytes in 10.00 seconds, throughput: 13703.48 bytes/second
2024-12-24 15:41:57,711 - data_record - INFO - Send Rate 100:Sent 133631 bytes in 10.00 seconds, throughput: 13361.99 bytes/second
2024-12-24 15:41:57,731 - data_record - INFO - Send Rate 19:Received 133453 bytes in 10.00 seconds, throughput: 13343.00 bytes/second
2024-12-24 15:41:57,735 - data_record - INFO - Send Rate 100:Sent 147557 bytes in 10.00 seconds, throughput: 14754.73 bytes/second
2024-12-24 15:41:57,740 - data_record - INFO - Send Rate 19:Received 147986 bytes in 10.00 seconds, throughput: 14796.74 bytes/second
2024-12-24 15:42:07,711 - data_record - INFO - Send Rate 100:Sent 144298 bytes in 10.00 seconds, throughput: 14429.26 bytes/second
2024-12-24 15:42:07,731 - data_record - INFO - Send Rate 20:Received 144424 bytes in 10.00 seconds, throughput: 14441.28 bytes/second
2024-12-24 15:42:07,736 - data_record - INFO - Send Rate 100:Sent 58536 bytes in 10.00 seconds, throughput: 5853.26 bytes/second
2024-12-24 15:42:07,742 - data_record - INFO - Send Rate 20:Received 58619 bytes in 10.00 seconds, throughput: 5861.08 bytes/second
